,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
3737,JOURNAL OF ENDOCRINOLOGY,J ENDOCRINOL,0022-0795,1479-6805,ENDOCRINOLOGY & METABOLISM - SCIE,"14,042",4.669,Q2,0.84,9.04%
3738,JOURNAL OF ENDOCRINOLOGY AND METABOLISM,J ENDOCRINOL METAB,1923-2861,1923-287X,ENDOCRINOLOGY & METABOLISM - ESCI,168,,,0.12,96.25%
3739,JOURNAL OF ENDOCRINOLOGY METABOLISM AND DIABETES OF SOUTH AFRICA,JEMDSA,1608-9677,2220-1009,ENDOCRINOLOGY & METABOLISM - ESCI,180,,,0.13,100%
3740,JOURNAL OF ENDOTOXIN RESEARCH,J ENDOTOXIN RES,0968-0519,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,267,1.449,Q3,,
3741,JOURNAL OF ENDOVASCULAR THERAPY,J ENDOVASC THER,1526-6028,1545-1550,PERIPHERAL VASCULAR DISEASE - SCIE,"4,013",3.089,Q3,0.93,12.06%
3742,JOURNAL OF ENERGETIC MATERIALS,J ENERG MATER,0737-0652,1545-8822,"CHEMISTRY, APPLIED - SCIE; CHEMISTRY, PHYSICAL - SCIE",961,2.421,Q3,0.33,0.60%
3743,JOURNAL OF ENERGY CHEMISTRY,J ENERGY CHEM,2095-4956,2095-4956,"CHEMISTRY, APPLIED - SCIE; CHEMISTRY, PHYSICAL - SCIE","19,394",13.599,Q1,1.81,2.01%
3744,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,J ENG GAS TURB POWER,0742-4795,1528-8919,"ENGINEERING, MECHANICAL - SCIE","8,125",1.732,Q3,0.44,0.11%
3745,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,J ENG MATER-T ASME,0094-4289,1528-8889,"ENGINEERING, MECHANICAL - SCIE","3,618",1.626,Q4,0.34,0%
3746,JOURNAL OF ENGINEERING MECHANICS,J ENG MECH,0733-9399,1943-7889,"ENGINEERING, MECHANICAL - SCIE","14,385",3.125,Q2,0.81,1.10%
3747,JOURNAL OF ENGINEERING THERMOPHYSICS,J ENG THERMOPHYS-RUS,1810-2328,1990-5432,"ENGINEERING, MECHANICAL - SCIE","1,074",2.038,Q3,0.34,0%
3748,JOURNAL OF ENHANCED HEAT TRANSFER,J ENHANC HEAT TRANSF,1065-5131,1563-5074,"ENGINEERING, MECHANICAL - SCIE",587,2.449,Q3,0.66,0%
3749,JOURNAL OF ENVIRONMENTAL AND PUBLIC HEALTH,J ENVIRON PUBLIC HEA,1687-9805,1687-9813,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,494",2.791,Q3,0.73,99.55%
3750,JOURNAL OF ENVIRONMENTAL HEALTH,J ENVIRON HEALTH,0022-0892,0022-0892,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","1,291",0.855,Q4,0.14,0%
3751,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,J ENVIRON PSYCHOL,0272-4944,1522-9610,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","17,441",7.649,Q1,1.78,22.50%
3752,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,J ENVIRON SCI HEAL B,0360-1234,1532-4109,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","3,736",2.506,Q3,0.48,0.58%
3753,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-TOXICOLOGY AND CARCINOGENESIS,J ENV SCI HEAL C-TOX,2689-6583,2689-6591,ONCOLOGY - SCIE,37,1.65,Q4,0.39,2.70%
3754,JOURNAL OF ENZYME INHIBITION,J ENZYM INHIB,8755-5093,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,262,0.887,Q3,,
3755,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,J ENZYM INHIB MED CH,1475-6366,1475-6374,"CHEMISTRY, MEDICINAL - SCIE","8,156",5.756,Q1,1.33,99.25%
3757,JOURNAL OF EPIDEMIOLOGY,J EPIDEMIOL,0917-5040,0917-5040,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","4,759",3.809,Q2,1.08,99.08%
3758,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,J EPIDEMIOL COMMUN H,0143-005X,1470-2738,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","19,968",6.286,Q1,1.35,37.20%
3759,JOURNAL OF EPIDEMIOLOGY AND GLOBAL HEALTH,J EPIDEMIOL GLOB HEA,2210-6006,2210-6014,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,484",5.959,Q1,0.89,96.89%
3760,JOURNAL OF ESSENTIAL OIL RESEARCH,J ESSENT OIL RES,1041-2905,2163-8152,"CHEMISTRY, APPLIED - SCIE","4,005",2.532,Q2,0.4,0.59%
3761,JOURNAL OF ETHNOBIOLOGY,J ETHNOBIOL,0278-0771,2162-4496,BIOLOGY - SCIE,"1,030",2.045,Q3,0.65,0%
3762,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,J ETHNOBIOL ETHNOMED,,1746-4269,PHARMACOLOGY & PHARMACY - SCIE,"3,943",3.404,Q3,0.79,100%
3763,JOURNAL OF ETHNOPHARMACOLOGY,J ETHNOPHARMACOL,0378-8741,1872-7573,"CHEMISTRY, MEDICINAL - SCIE","53,915",5.195,Q2,1.44,5.42%
3765,JOURNAL OF EVIDENCE-BASED PSYCHOTHERAPIES,J EVID-BASED PSYCHOT,2360-0853,,"PSYCHOLOGY, CLINICAL - SSCI",107,0.571,Q4,0.15,0%
3766,JOURNAL OF EVOLUTION EQUATIONS,J EVOL EQU,1424-3199,1424-3202,"MATHEMATICS, APPLIED - SCIE","1,109",1.261,Q3,0.87,26.97%
3767,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,J EVOL BIOCHEM PHYS+,0022-0930,1608-3202,PHYSIOLOGY - SCIE,927,1.621,Q4,0.1,0.86%
3771,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,J EXP CLIN CANC RES,,1756-9966,ONCOLOGY - SCIE,"21,000",12.658,Q1,1.99,99.81%
3772,JOURNAL OF EXPERIMENTAL BIOLOGY,J EXP BIOL,0022-0949,1477-9145,BIOLOGY - SCIE,"42,869",3.308,Q2,0.83,70.43%
3773,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,J EXP CHILD PSYCHOL,0022-0965,1096-0457,"PSYCHOLOGY, EXPERIMENTAL - SSCI","10,339",2.547,Q3,0.83,10.21%
3774,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,0022-1007,1540-9538,IMMUNOLOGY - SCIE,"79,381",17.579,Q1,3.18,96.58%
3775,JOURNAL OF EXPERIMENTAL NANOSCIENCE,J EXP NANOSCI,1745-8080,1745-8099,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","1,963",2.024,Q3,0.38,100%
3777,JOURNAL OF EXPERIMENTAL NEUROSCIENCE,J EXP NEUROSCI,1179-0695,1179-0695,NEUROSCIENCES - ESCI,556,,,0.56,97.56%
3778,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,J EXP PSYCHOL-ANIM L,2329-8456,2329-8464,"PSYCHOLOGY, EXPERIMENTAL - SSCI","2,232",2.088,Q3,0.78,3.74%
3780,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,J EXP PSYCHOL-APPL,1076-898X,1939-2192,"PSYCHOLOGY, APPLIED - SSCI","3,106",2.813,Q3,0.89,0.56%
3781,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,J EXP PSYCHOL GEN,0096-3445,1939-2222,"PSYCHOLOGY, EXPERIMENTAL - SSCI","16,088",5.498,Q1,1.64,3.14%
3782,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,J EXP PSYCHOL HUMAN,0096-1523,1939-1277,"PSYCHOLOGY, EXPERIMENTAL - SSCI","13,109",3.077,Q2,0.96,2.49%
3783,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,J EXP PSYCHOL LEARN,0278-7393,1939-1285,"PSYCHOLOGY, EXPERIMENTAL - SSCI","14,979",3.14,Q2,1.04,1.96%
3784,JOURNAL OF EXPERIMENTAL PSYCHOPATHOLOGY,J EXP PSYCHOPATHOL,,2043-8087,"PSYCHOLOGY, CLINICAL - SSCI",744,2.718,Q3,0.54,100%
3785,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,J EXP SOC PSYCHOL,0022-1031,1096-0465,"PSYCHOLOGY, SOCIAL - SSCI","17,335",3.532,Q2,1.12,8.16%
3786,JOURNAL OF EXPERIMENTAL THERAPEUTICS AND ONCOLOGY,J EXP THER ONCOL,1359-4117,1533-869X,ONCOLOGY - ESCI,309,,,0.11,0%
3787,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,J EXPO SCI ENV EPID,1559-0631,1559-064X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","6,252",6.371,Q1,1.28,23.44%
3788,JOURNAL OF EXTRACELLULAR VESICLES,J EXTRACELL VESICLES,,2001-3078,CELL BIOLOGY - SCIE,"8,485",25.841,Q1,2.9,98.65%
3790,JOURNAL OF EYE MOVEMENT RESEARCH,J EYE MOVEMENT RES,1995-8692,1995-8692,OPHTHALMOLOGY - SCIE,557,1.349,Q4,0.49,91.43%
3791,JOURNAL OF FAMILY AND COMMUNITY MEDICINE,J FAM COMMUNITY MED,2230-8229,2229-340X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",980,,,0.77,0%
3792,JOURNAL OF FAMILY PSYCHOLOGY,J FAM PSYCHOL,0893-3200,1939-1293,"PSYCHOLOGY, CLINICAL - SSCI","9,626",3.302,Q2,1.07,1.02%
3793,JOURNAL OF FAMILY PSYCHOTHERAPY,J FAM PSYCHOTHER,0897-5353,1540-4080,"PSYCHOLOGY, CLINICAL - ESCI",241,,,0.27,0%
3794,JOURNAL OF FAMILY THERAPY,J FAM THER,0163-4445,1467-6427,"PSYCHOLOGY, CLINICAL - SSCI","1,094",1.836,Q4,0.51,10.48%
3795,JOURNAL OF FAMILY VIOLENCE,J FAM VIOLENCE,0885-7482,1573-2851,"PSYCHOLOGY, CLINICAL - SSCI","5,057",2.897,Q3,1.01,14.41%
3796,JOURNAL OF FIXED POINT THEORY AND APPLICATIONS,J FIX POINT THEORY A,1661-7738,1661-7746,"MATHEMATICS, APPLIED - SCIE","1,531",2.0,Q2,1.42,10.04%
3797,JOURNAL OF FLOW CHEMISTRY,J FLOW CHEM,2062-249X,2063-0212,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",796,3.264,Q3,0.55,29.70%
3799,JOURNAL OF FLOW VISUALIZATION AND IMAGE PROCESSING,J FLOW VIS IMAGE PRO,1065-3090,1940-4336,"ENGINEERING, MECHANICAL - ESCI",66,,,0.16,0%
3800,JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,0094-730X,1873-801X,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,"1,673",2.297,Q2,1.23,5.33%
3801,JOURNAL OF FLUIDS AND STRUCTURES,J FLUID STRUCT,0889-9746,1095-8622,"ENGINEERING, MECHANICAL - SCIE","10,824",3.482,Q2,0.88,4.15%
3802,JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,J FLUID ENG-T ASME,0098-2202,1528-901X,"ENGINEERING, MECHANICAL - SCIE","9,911",1.998,Q3,0.62,0%
3803,JOURNAL OF FLUORESCENCE,J FLUORESC,1053-0509,1573-4994,"CHEMISTRY, PHYSICAL - SCIE","4,849",2.525,Q3,0.46,2.45%
3804,JOURNAL OF FOOD AND DRUG ANALYSIS,J FOOD DRUG ANAL,1021-9498,1021-9498,PHARMACOLOGY & PHARMACY - SCIE,"5,700",6.157,Q1,1.29,96.88%
3805,JOURNAL OF FOOD BIOCHEMISTRY,J FOOD BIOCHEM,0145-8884,1745-4514,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,326,0.471,Q4,,
3807,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,J FOOD COMPOS ANAL,0889-1575,1096-0481,"CHEMISTRY, APPLIED - SCIE","12,364",4.52,Q2,0.95,7.58%
3808,JOURNAL OF FOOD SAFETY AND FOOD QUALITY-ARCHIV FUR LEBENSMITTELHYGIENE,J FOOD SAF FOOD QUAL,0003-925X,,"CHEMISTRY, APPLIED - SCIE",154,0.378,Q4,0.06,0%
3809,JOURNAL OF FORENSIC PSYCHOLOGY RESEARCH AND PRACTICE,J FOREN PSYCHOL RES,2473-2850,2473-2842,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",118,0.915,Q4,0.4,11.11%
3810,JOURNAL OF FORENSIC RADIOLOGY AND IMAGING,J FORENSIC RADIOL IM,2212-4780,2212-4799,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",230,,,0.25,0%
3811,JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS,J FOURIER ANAL APPL,1069-5869,1531-5851,"MATHEMATICS, APPLIED - SCIE","2,086",1.273,Q3,0.64,18.24%
3812,JOURNAL OF FRICTION AND WEAR,J FRICT WEAR+,1068-3666,1934-9386,"ENGINEERING, MECHANICAL - SCIE",727,0.614,Q4,0.14,0%
3813,JOURNAL OF FUNCTION SPACES,J FUNCT SPACE,2314-8896,2314-8888,"MATHEMATICS, APPLIED - SCIE","1,323",1.281,Q3,1.19,98.83%
3814,JOURNAL OF FUNCTIONAL BIOMATERIALS,J FUNCT BIOMATER,,2079-4983,"ENGINEERING, BIOMEDICAL - SCIE","2,458",4.901,Q2,0.77,96.57%
3815,JOURNAL OF FUNCTIONAL FOODS,J FUNCT FOODS,1756-4646,2214-9414,NUTRITION & DIETETICS - SCIE,"22,198",5.223,Q2,1.09,66.65%
3816,JOURNAL OF GAMBLING STUDIES,J GAMBL STUD,1050-5350,1573-3602,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","3,988",3.396,Q2,0.97,22.70%
3817,JOURNAL OF GASTRIC CANCER,J GASTRIC CANCER,2093-582X,2093-5641,ONCOLOGY - SCIE,"1,013",3.197,Q3,0.55,38.94%
3818,JOURNAL OF GASTROINTESTINAL CANCER,J GASTROINTEST CANC,1941-6628,1941-6636,ONCOLOGY - ESCI,"1,752",,,0.3,3.85%
3819,JOURNAL OF GASTROINTESTINAL ONCOLOGY,J GASTROINTEST ONCOL,2078-6891,2219-679X,ONCOLOGY - SCIE,"3,126",2.587,Q4,0.45,92.13%
3820,JOURNAL OF GAY & LESBIAN MENTAL HEALTH,J GAY LESBIAN MENT H,1935-9705,1935-9713,"PSYCHOLOGY, CLINICAL - ESCI",850,,,0.56,2.33%
3821,JOURNAL OF GENERAL PHYSIOLOGY,J GEN PHYSIOL,0022-1295,1540-7748,PHYSIOLOGY - SCIE,"9,016",4.0,Q2,1.1,100%
3823,JOURNAL OF GENERAL PSYCHOLOGY,J GEN PSYCHOL,0022-1309,1940-0888,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","1,663",2.014,Q3,0.51,0%
3824,JOURNAL OF GENETIC PSYCHOLOGY,J GENET PSYCHOL,0022-1325,1940-0896,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","1,729",1.333,Q4,0.43,2.83%
3825,JOURNAL OF GENETICS AND GENOMICS,J GENET GENOMICS,1673-8527,1873-5533,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"3,129",5.723,Q2,0.61,16.84%
3826,JOURNAL OF GEOMETRIC MECHANICS,J GEOM MECH,1941-4889,1941-4897,"MATHEMATICS, APPLIED - SCIE; PHYSICS, MATHEMATICAL - SCIE",181,0.737,Q4,0.36,100%
3827,JOURNAL OF GEOMETRY AND PHYSICS,J GEOM PHYS,0393-0440,1879-1662,"PHYSICS, MATHEMATICAL - SCIE","3,329",1.38,Q3,0.8,3.38%
3828,JOURNAL OF GEOMETRY AND SYMMETRY IN PHYSICS,J GEOM SYMMETRY PHYS,1312-5192,1314-5673,"PHYSICS, MATHEMATICAL - ESCI",120,,,0.23,0%
3829,JOURNAL OF GERIATRIC ONCOLOGY,J GERIATR ONCOL,1879-4068,1879-4076,ONCOLOGY - SCIE,"3,121",3.929,Q3,0.76,8.25%
3830,JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,J GERIATR PSYCH NEUR,0891-9887,1552-5708,CLINICAL NEUROLOGY - SCIE,"2,443",2.718,Q3,0.56,9.91%
3831,JOURNAL OF GINSENG RESEARCH,J GINSENG RES,1226-8453,2093-4947,"CHEMISTRY, MEDICINAL - SCIE","3,740",5.735,Q1,1.78,99.60%
3832,JOURNAL OF GLAUCOMA,J GLAUCOMA,1057-0829,1536-481X,OPHTHALMOLOGY - SCIE,"6,607",2.29,Q3,0.86,29.57%
3833,JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE,J GLOB ANTIMICROB RE,2213-7165,2213-7173,PHARMACOLOGY & PHARMACY - SCIE,"4,063",4.349,Q2,0.84,74.97%
3834,JOURNAL OF GLOBAL HEALTH,J GLOB HEALTH,2047-2978,2047-2986,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,452",7.664,Q1,1.11,91.48%
3835,JOURNAL OF GLOBAL OPTIMIZATION,J GLOBAL OPTIM,0925-5001,1573-2916,"MATHEMATICS, APPLIED - SCIE","7,707",1.996,Q2,0.8,14.22%
3836,JOURNAL OF GYNECOLOGIC ONCOLOGY,J GYNECOL ONCOL,2005-0380,2005-0399,ONCOLOGY - SCIE,"2,658",4.756,Q2,1.21,99.56%
3837,JOURNAL OF HAPPINESS STUDIES,J HAPPINESS STUD,1389-4978,1573-7780,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","8,745",4.087,Q2,1.73,21.17%
3838,JOURNAL OF HARD TISSUE BIOLOGY,J HARD TISSUE BIOL,1341-7649,1341-7649,"ENGINEERING, BIOMEDICAL - SCIE",302,0.593,Q4,0.11,56.03%
3839,JOURNAL OF HEAD TRAUMA REHABILITATION,J HEAD TRAUMA REHAB,0885-9701,1550-509X,CLINICAL NEUROLOGY - SCIE,"5,220",3.117,Q3,1.06,2.70%
3840,JOURNAL OF HEADACHE AND PAIN,J HEADACHE PAIN,1129-2369,1129-2377,CLINICAL NEUROLOGY - SCIE,"6,591",8.588,Q1,1.55,99.73%
3842,JOURNAL OF HEALTH AND POLLUTION,J HEALTH POLLUT,,2156-9614,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",568,,,0.34,61.84%
3843,JOURNAL OF HEALTH AND SAFETY AT WORK,J HEALTH SAF WORK,2251-807X,2383-2088,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",155,,,0.14,0%
3844,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,J HEALTH SOC BEHAV,0022-1465,2150-6000,"PSYCHOLOGY, SOCIAL - SSCI","12,917",5.179,Q1,1.65,3.92%
3846,JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED,J HEALTH CARE POOR U,1049-2089,1548-6869,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,889",1.28,Q4,0.4,0%
3847,JOURNAL OF HEALTH POPULATION AND NUTRITION,J HEALTH POPUL NUTR,1606-0997,2072-1315,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","2,706",2.966,Q3,0.61,100%
3848,JOURNAL OF HEALTH PSYCHOLOGY,J HEALTH PSYCHOL,1359-1053,1461-7277,"PSYCHOLOGY, CLINICAL - SSCI","8,948",3.789,Q2,0.95,8.82%
3849,JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME,J HEAT TRANS-T ASME,0022-1481,1528-8943,"ENGINEERING, MECHANICAL - SCIE","15,878",1.855,Q3,0.49,0.17%
3850,JOURNAL OF HEMATOLOGY & ONCOLOGY,J HEMATOL ONCOL,,1756-8722,ONCOLOGY - SCIE,"15,318",23.168,Q1,2.85,99.52%
3851,JOURNAL OF HEPATOCELLULAR CARCINOMA,J HEPATOCELL CARCINO,,2253-5969,ONCOLOGY - SCIE,748,4.962,Q2,0.68,96.51%
3852,JOURNAL OF HISTOCHEMISTRY & CYTOCHEMISTRY,J HISTOCHEM CYTOCHEM,0022-1554,1551-5044,CELL BIOLOGY - SCIE,"8,012",2.479,Q4,0.34,7.61%
3854,JOURNAL OF HISTOTECHNOLOGY,J HISTOTECHNOL,0147-8885,2046-0236,CELL BIOLOGY - SCIE,319,1.918,Q4,0.21,5.56%
3856,JOURNAL OF HOMOSEXUALITY,J HOMOSEXUAL,0091-8369,1540-3602,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","5,210",2.496,Q2,1.12,3.48%
3857,JOURNAL OF HOSPITAL INFECTION,J HOSP INFECT,0195-6701,1532-2939,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","14,491",8.944,Q1,1.29,18.77%
3858,JOURNAL OF HUMAN HYPERTENSION,J HUM HYPERTENS,0950-9240,1476-5527,PERIPHERAL VASCULAR DISEASE - SCIE,"5,766",2.877,Q3,0.52,10.72%
3859,JOURNAL OF HUMAN NUTRITION AND DIETETICS,J HUM NUTR DIET,0952-3871,1365-277X,NUTRITION & DIETETICS - SCIE,"4,199",2.995,Q3,0.63,13.61%
3860,JOURNAL OF HUMANISTIC COUNSELING,J HUMANIST COUNS,2159-0311,2161-1939,"PSYCHOLOGY, APPLIED - ESCI",257,,,0.23,2.33%
3861,JOURNAL OF HUMANISTIC PSYCHOLOGY,J HUMANIST PSYCHOL,0022-1678,1552-650X,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","1,480",1.874,Q3,0.59,7.87%
3862,JOURNAL OF HUNGER & ENVIRONMENTAL NUTRITION,J HUNGER ENVIRON NUT,1932-0248,1932-0256,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,038",,,0.52,3.95%
3863,JOURNAL OF HUNTINGTONS DISEASE,J HUNTINGTONS DIS,1879-6397,1879-6400,NEUROSCIENCES - ESCI,750,,,0.44,24.32%
3864,JOURNAL OF HYDRAULIC ENGINEERING,J HYDRAUL ENG,0733-9429,1943-7900,"ENGINEERING, MECHANICAL - SCIE","12,810",2.785,Q2,0.68,3.45%
3865,JOURNAL OF HYPERBOLIC DIFFERENTIAL EQUATIONS,J HYPERBOL DIFFER EQ,0219-8916,1793-6993,"MATHEMATICS, APPLIED - SCIE; PHYSICS, MATHEMATICAL - SCIE",539,0.635,Q4,0.37,0%
3866,JOURNAL OF HYPERTENSION,J HYPERTENS,0263-6352,1473-5598,PERIPHERAL VASCULAR DISEASE - SCIE,"19,911",4.776,Q2,1.05,10.98%
3867,JOURNAL OF IMMIGRANT AND MINORITY HEALTH,J IMMIGR MINOR HEALT,1557-1912,1557-1920,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,930",2.015,Q4,0.55,11.11%
3868,JOURNAL OF IMMUNOASSAY,J IMMUNOASSAY,0197-1522,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,236,0.523,Q4,,
3869,JOURNAL OF IMMUNOLOGICAL METHODS,J IMMUNOL METHODS,0022-1759,1872-7905,IMMUNOLOGY - SCIE,"12,667",2.287,Q4,0.48,22.62%
3870,JOURNAL OF IMMUNOLOGY,J IMMUNOL,0022-1767,1550-6606,IMMUNOLOGY - SCIE,"149,179",5.426,Q2,0.92,4.15%
3871,JOURNAL OF IMMUNOLOGY RESEARCH,J IMMUNOL RES,2314-8861,2314-7156,IMMUNOLOGY - SCIE,"10,029",4.493,Q3,0.58,99.38%
3872,JOURNAL OF IMMUNOTHERAPY,J IMMUNOTHER,1524-9557,1537-4513,IMMUNOLOGY - SCIE,"4,107",4.912,Q2,0.96,12.59%
3874,JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,J INCL PHENOM MACRO,1388-3127,1573-1111,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","3,182",1.925,Q3,0.23,2.77%
3876,JOURNAL OF INDIVIDUAL DIFFERENCES,J INDIVID DIFFER,1614-0001,2151-2299,"PSYCHOLOGY, SOCIAL - SSCI","1,074",2.608,Q3,0.64,2.50%
3877,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,J IND ENG CHEM,1226-086X,1876-794X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","28,167",6.76,Q2,0.96,0.93%
3879,JOURNAL OF INEQUALITIES AND APPLICATIONS,J INEQUAL APPL,1029-242X,1029-242X,"MATHEMATICS, APPLIED - SCIE","4,883",2.021,Q2,1.42,99.87%
3880,JOURNAL OF INFECTION AND CHEMOTHERAPY,J INFECT CHEMOTHER,1341-321X,1437-7780,PHARMACOLOGY & PHARMACY - SCIE,"4,587",2.065,Q4,0.53,11.69%
3881,JOURNAL OF INFECTION AND PUBLIC HEALTH,J INFECT PUBLIC HEAL,1876-0341,1876-035X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","6,717",7.537,Q1,1.28,96.74%
3882,JOURNAL OF INFECTIOUS DISEASES,J INFECT DIS,0022-1899,1537-6613,IMMUNOLOGY - SCIE,"58,677",7.759,Q1,1.33,30.63%
3883,JOURNAL OF INFLAMMATION,J INFLAMM,1078-7852,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,292,2.884,Q2,,
3884,JOURNAL OF INFLAMMATION RESEARCH,J INFLAMM RES,,1178-7031,IMMUNOLOGY - SCIE,"2,294",4.631,Q3,0.65,92.61%
3885,JOURNAL OF INFLAMMATION-LONDON,J INFLAMM-LOND,1476-9255,1476-9255,IMMUNOLOGY - SCIE,"2,145",6.283,Q2,0.79,100%
3886,JOURNAL OF INFORMATION AND TELECOMMUNICATION,J INFORM TELECOMMUN,2475-1839,2475-1847,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",195,,,0.38,98%
3887,JOURNAL OF INFRARED MILLIMETER AND TERAHERTZ WAVES,J INFRARED MILLIM TE,1866-6892,1866-6906,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","2,327",2.647,Q3,0.63,17.52%
3888,JOURNAL OF INHERITED METABOLIC DISEASE,J INHERIT METAB DIS,0141-8955,1573-2665,ENDOCRINOLOGY & METABOLISM - SCIE,"8,230",4.75,Q2,1.02,39.89%
3889,JOURNAL OF INNATE IMMUNITY,J INNATE IMMUN,1662-811X,1662-8128,IMMUNOLOGY - SCIE,"3,565",7.111,Q2,0.99,100%
3890,JOURNAL OF INNOVATIVE OPTICAL HEALTH SCIENCES,J INNOV OPT HEAL SCI,1793-5458,1793-7205,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",837,2.396,Q3,0.48,99.39%
